icon_id,set_id,set_name,label,category,normalized_path,foreground_area_ratio,canny_edge_density,connected_components,quadtree_leaf_count,quadtree_structural_variability,quadtree_mean_leaf_size
14706a707d383b80,01_mcdougall_symbol_icon_set,McDougall Symbol/Icon Set,McDougall item 81,,icon_data/normalized_256/01_mcdougall_symbol_icon_set/mcdougall_081__14706a707d38.png,0.063232421875,0.0124053955078125,1.0,370.0,0.09033203125,177.12432432432433
159d8268e9d3a830,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,elderly,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/elderly__159d8268e9d3.png,0.6796875,0.0222930908203125,1.0,376.0,0.091796875,174.29787234042553
15eae1fecd0afd94,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,conflict,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/conflict__15eae1fecd0a.png,0.394561767578125,0.032073974609375,9.0,1225.0,0.299072265625,53.498775510204084
15f1b4324f271e4f,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga FirstAid Red,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_firstaid_red__15f1b4324f27.png,0.5693359375,0.01019287109375,1.0,496.0,0.12109375,132.1290322580645
161d8c4c3de951fb,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W014,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w014__161d8c4c3de9.png,0.875,0.043914794921875,1.0,88.0,0.021484375,744.7272727272727
171fb3728439114d,05_mulberry_symbols,Mulberry Symbols,Christmas Eve,iconsets,icon_data/normalized_256/05_mulberry_symbols/christmas_eve__171fb3728439.png,0.15423583984375,0.0454864501953125,7.0,970.0,0.23681640625,67.56288659793815
1767b051e842b470,01_mcdougall_symbol_icon_set,McDougall Symbol/Icon Set,McDougall item 22,,icon_data/normalized_256/01_mcdougall_symbol_icon_set/mcdougall_022__1767b051e842.png,0.1183929443359375,0.02069091796875,5.0,688.0,0.16796875,95.25581395348837
18383e2129c8408b,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,arrest detention,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/arrest_detention__18383e2129c8.png,0.380889892578125,0.032318115234375,7.0,1138.0,0.27783203125,57.58875219683655
18979fa871a416a0,01_mcdougall_symbol_icon_set,McDougall Symbol/Icon Set,McDougall item 97,,icon_data/normalized_256/01_mcdougall_symbol_icon_set/mcdougall_097__18979fa871a4.png,0.1396636962890625,0.0255126953125,2.0,412.0,0.1005859375,159.06796116504853
19d523b4ad794653,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga escalator down,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_escalator_down__19d523b4ad79.png,0.34173583984375,0.0309295654296875,3.0,760.0,0.185546875,86.23157894736842
1a2cfdf2552217cb,10_openmoji,OpenMoji,O button (blood type),symbols / alphanum,icon_data/normalized_256/10_openmoji/1f17e__1a2cfdf25522.png,0.438934326171875,0.0288543701171875,2.0,826.0,0.20166015625,79.34140435835351
1a6548b5aaa8c5aa,01_mcdougall_symbol_icon_set,McDougall Symbol/Icon Set,McDougall item 54,,icon_data/normalized_256/01_mcdougall_symbol_icon_set/mcdougall_054__1a6548b5aaa8.png,0.072357177734375,0.0146331787109375,8.0,484.0,0.1181640625,135.40495867768595
1ab237a6af822011,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,calendar,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/calendar__1ab237a6af82.png,0.87890625,0.033905029296875,1.0,232.0,0.056640625,282.48275862068965
1ac4e987f177f66d,05_mulberry_symbols,Mulberry Symbols,Milky Way,iconsets,icon_data/normalized_256/05_mulberry_symbols/milky_way__1ac4e987f177.png,0.353240966796875,0.0492095947265625,8.0,613.0,0.149658203125,106.91027732463296
1b15aa32b97e99c0,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,airport military,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/airport_military__1b15aa32b97e.png,0.460540771484375,0.0171966552734375,1.0,604.0,0.1474609375,108.50331125827815
1b2eb29c58f4c349,12_iso_15223_medical_device_symbols,ISO 15223 Medical Device Symbols,humidity limitation,medical device label,icon_data/normalized_256/12_iso_15223_medical_device_symbols/humidity_limitation__1b2eb29c58f4.png,0.158050537109375,0.041778564453125,4.0,1294.0,0.31591796875,50.646058732612055
1b8210d261f93090,12_iso_15223_medical_device_symbols,ISO 15223 Medical Device Symbols,fluid path,medical device label,icon_data/normalized_256/12_iso_15223_medical_device_symbols/fluid_path__1b8210d261f9.png,0.1271820068359375,0.029754638671875,1.0,613.0,0.149658203125,106.91027732463296
1c1aa60214ea9790,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga ticketpurchase,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_ticketpurchase__1c1aa60214ea.png,0.322906494140625,0.030609130859375,4.0,1126.0,0.27490234375,58.202486678507995
1c51d643ded6e874,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,chart,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/chart__1c51d643ded6.png,0.91796875,0.0167388916015625,1.0,376.0,0.091796875,174.29787234042553
1c704e838287970e,01_mcdougall_symbol_icon_set,McDougall Symbol/Icon Set,McDougall item 31,,icon_data/normalized_256/01_mcdougall_symbol_icon_set/mcdougall_031__1c704e838287.png,0.127197265625,0.01910400390625,1.0,148.0,0.0361328125,442.81081081081084
1d2d10f6785f8c16,05_mulberry_symbols,Mulberry Symbols,H,iconsets,icon_data/normalized_256/05_mulberry_symbols/h__1d2d10f6785f.png,0.246337890625,0.014404296875,1.0,670.0,0.16357421875,97.81492537313433
1d9938fe01835594,10_openmoji,OpenMoji,SOS button,symbols / alphanum,icon_data/normalized_256/10_openmoji/1f198__1d9938fe0183.png,0.476470947265625,0.032806396484375,2.0,847.0,0.206787109375,77.37426210153482
1dbfa7824219b1be,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,abduction kidnapping,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/abduction_kidnapping__1dbfa7824219.png,0.4719390869140625,0.02362060546875,1.0,802.0,0.19580078125,81.71571072319202
1e157882b7150c13,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W035,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w035__1e157882b715.png,0.8671875,0.0387115478515625,1.0,376.0,0.091796875,174.29787234042553
1e9d0ae2bdf1af2e,01_mcdougall_symbol_icon_set,McDougall Symbol/Icon Set,McDougall item 41,,icon_data/normalized_256/01_mcdougall_symbol_icon_set/mcdougall_041__1e9d0ae2bdf1.png,0.105133056640625,0.021148681640625,2.0,421.0,0.102783203125,155.66745843230404
1f37e501ed401f26,05_mulberry_symbols,Mulberry Symbols,Easter egg,iconsets,icon_data/normalized_256/05_mulberry_symbols/easter_egg__1f37e501ed40.png,0.429595947265625,0.05194091796875,1.0,403.0,0.098388671875,162.62034739454094
