rank,distance,source_icon_id,source_set_id,source_set_name,source_label,source_category,source_normalized_path,target_icon_id,target_set_id,target_set_name,target_label,target_category,target_normalized_path
68,0.9662562632429423,49ca9fbeb665b154,05_mulberry_symbols,Mulberry Symbols,Christmas bell,iconsets,icon_data/normalized_256/05_mulberry_symbols/christmas_bell__49ca9fbeb665.png,e22046506b44b5b2,07_arasaac_pictograms,ARASAAC Pictograms,frightened,qualifying adjective; feeling; halloween,icon_data/normalized_256/07_arasaac_pictograms/10208__e22046506b44.png
69,0.9682647578667934,3fc360c5c4e56a82,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W019,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w019__3fc360c5c4e5.png,e93973679234ed81,13_usp_pictograms_manual,USP Pictograms,54,medication instruction,icon_data/normalized_256/13_usp_pictograms_manual/54__e93973679234.png
70,0.9688508648258132,0f0ba10ef3a52533,13_usp_pictograms_manual,USP Pictograms,35,medication instruction,icon_data/normalized_256/13_usp_pictograms_manual/35__0f0ba10ef3a5.png,a09e21ebdedab5a7,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,agriculture,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/agriculture__a09e21ebdeda.png
71,0.9692845079346519,0ca7c67b9607dd2a,13_usp_pictograms_manual,USP Pictograms,47,medication instruction,icon_data/normalized_256/13_usp_pictograms_manual/47__0ca7c67b9607.png,3fc360c5c4e56a82,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W019,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w019__3fc360c5c4e5.png
72,0.9697985694872893,71bd84f092815ba6,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,epidemic,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/epidemic__71bd84f09281.png,b8170c7e62df15a5,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W038,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w038__b8170c7e62df.png
73,0.9708068018400166,252594db039d92a6,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,email,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/email__252594db039d.png,8eb2ae5e436bf3d9,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W032,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w032__8eb2ae5e436b.png
74,0.970889532946668,99ecaad15ea16c98,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,doctor,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/doctor__99ecaad15ea1.png,f827e42afce0851c,06_blissymbolics,Blissymbolics,birth,Blissymbolics char,icon_data/normalized_256/06_blissymbolics/birth_5b6c23b9f4c8__f827e42afce0.png
75,0.9732878427814753,7ec398ff09ac8543,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,camp coordination and camp management,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/camp_coordination_and_camp_management__7ec398ff09ac.png,9198bbcd6bccdff0,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W025,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w025__9198bbcd6bcc.png
76,0.9738430717276758,7ec398ff09ac8543,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,camp coordination and camp management,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/camp_coordination_and_camp_management__7ec398ff09ac.png,a550646e3a8c8903,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W017,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w017__a550646e3a8c.png
77,0.9767806041629636,5f9147febc575092,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga firstaid,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_firstaid__5f9147febc57.png,bf3dc9f7d43e8167,09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,i health services,healthcare wayfinding,icon_data/normalized_256/09_universal_symbols_healthcare_webfont/i_health_services__bf3dc9f7d43e.png
78,0.9769443877899419,2663a2a83e8e54b1,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W021,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w021__2663a2a83e8e.png,7ec398ff09ac8543,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,camp coordination and camp management,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/camp_coordination_and_camp_management__7ec398ff09ac.png
79,0.9825014443635894,8eb2ae5e436bf3d9,11_iso_7010_safety_signs,ISO 7010 Safety Signs,ISO 7010 W032,iconsets,icon_data/normalized_256/11_iso_7010_safety_signs/iso_7010_w032__8eb2ae5e436b.png,d90a53fc6a52fc3e,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,dangerous area,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/dangerous_area__d90a53fc6a52.png
80,0.9844494177550676,0e14f4458e64764c,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga noentry,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_noentry__0e14f4458e64.png,12cf36cf5b20fc8d,03_mapbox_maki_icons,Mapbox Maki,gift,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/gift__12cf36cf5b20.png
81,0.9860414909267515,3b5dfa86d4d488d4,04_ocha_humanitarian_icons,OCHA Humanitarian Icons,emergency telecommunications,iconsets,icon_data/normalized_256/04_ocha_humanitarian_icons/emergency_telecommunications__3b5dfa86d4d4.png,45259ed2dab5f658,13_usp_pictograms_manual,USP Pictograms,76,medication instruction,icon_data/normalized_256/13_usp_pictograms_manual/76__45259ed2dab5.png
82,0.9862988671977407,5c000c0625ba1fb6,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga railtransportation,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_railtransportation__5c000c0625ba.png,633d125136da3e33,03_mapbox_maki_icons,Mapbox Maki,casino,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/casino__633d125136da.png
83,0.987762553765789,4b6dc51334050530,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga cashier,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_cashier__4b6dc5133405.png,ebb27d9f901db57b,10_openmoji,OpenMoji,copyright,symbols / other-symbol,icon_data/normalized_256/10_openmoji/00a9__ebb27d9f901d.png
