method,variant,k,cluster,size,top_sets,representative_icon_ids
kmeans,combined,7,2,10,"[[""McDougall Symbol/Icon Set"", 10]]",c0b01f650a9f3047 2dfb8baa45944a16 3167ff62be4a1ae7 276e0f48b2aecf30 671222e19754e444 b5c1200b37f8968d af8efb82a3eaf250 121de65a284465c5
kmeans,combined,7,3,27,"[[""ISO 7010 Safety Signs"", 10], [""Blissymbolics"", 7], [""OCHA Humanitarian Icons"", 6], [""Universal Symbols Healthcare Webfont"", 3], [""GHS Hazard Pictograms"", 1]]",395681962a31584b 8eb2ae5e436bf3d9 672c5ac5c05045ac 3ae85d1803f6fd0e f3ac148d14f99a51 5d96dfc9b1190032 017f18f80c2b6bb0 9198bbcd6bccdff0
kmeans,combined,7,4,19,"[[""ISO 15223 Medical Device Symbols"", 10], [""GHS Hazard Pictograms"", 8], [""ARASAAC Pictograms"", 1]]",e6e2d33ceb0e83af d176e3613fd2e8ca f1c82e0e3033e0f2 0dbe74d0ea5067c3 e6a519ba8dd89268 4ce46f5f8d9a06ef 77256bc1bfc6a972 0db27129c0b71a97
kmeans,combined,7,5,30,"[[""AIGA/DOT Symbol Signs"", 10], [""Mapbox Maki"", 10], [""OCHA Humanitarian Icons"", 4], [""Blissymbolics"", 3], [""Universal Symbols Healthcare Webfont"", 2]]",633d125136da3e33 bbdb16044679062a 47e3bd73efa382ae cfb5182dc1998eb7 70c66f7df237db99 ca282d9b8d67354b c4317c54e3675826 ce5351620f2eb860
kmeans,combined,7,6,16,"[[""USP Pictograms"", 10], [""Universal Symbols Healthcare Webfont"", 5], [""OpenMoji"", 1]]",35be32b4253e6b7e db7e3477d2e2096c 09f287549c50a508 67facd157d491218 0f0ba10ef3a52533 e93973679234ed81 786becad40b24f1e 6a09c26401d7753b
kmeans,combined,10,0,20,"[[""ISO 7010 Safety Signs"", 10], [""USP Pictograms"", 10]]",3ae85d1803f6fd0e 3fc360c5c4e56a82 e93973679234ed81 5d96dfc9b1190032 b8d532b96649ad9b 672c5ac5c05045ac 969d2464f703154e 35be32b4253e6b7e
kmeans,combined,10,1,3,"[[""GHS Hazard Pictograms"", 3]]",a2d4a495cac2adae 6bfd058b52069703 832f13e7c3d03100
kmeans,combined,10,2,11,"[[""Blissymbolics"", 8], [""Universal Symbols Healthcare Webfont"", 3]]",f3ac148d14f99a51 9b513da0bbf6fec5 7f0b8a0a616b25e4 1bf6d6502e22fd36 e0bee5c0b0d5a7d6 9c32fad280ea8306 c7f27f7fd0d5d77b f1dbaaccf91a93c6
kmeans,combined,10,3,7,"[[""GHS Hazard Pictograms"", 6], [""ARASAAC Pictograms"", 1]]",e6a519ba8dd89268 9fc96269778b3b35 77256bc1bfc6a972 65ab556300024c0b 4de8ea4a98e350d2 92617f40c2c43b99 cddd255cbebb9d8e
kmeans,combined,10,4,8,"[[""ARASAAC Pictograms"", 8]]",ab4c6a5c76f157ea 255623028b70fd39 52c97289f9c9f6dc 97bbfcfc069b7629 a8150b5836fa8340 8025a575373cd6a9 4ca95e3d476453ba a6de1dec67d7aed5
